YEAR,PFR_ID,Week,PPR,predicted_PPR
2024,MasoJo00,5,8.8,9.285640379559206
2024,MasoJo00,6,9.2,10.533070368544971
2024,MasoJo00,7,8.9,8.26565285804343
2024,MasoJo00,8,1.8,8.06157657064415
2024,MasoJo00,10,0.5,9.320910377324182
2024,MasoJo00,11,1.3,8.896894117094833
2024,MasoJo00,12,2.3,7.843563465086264
2024,MasoJo00,13,7.8,6.962596943750908
2024,MattAl01,1,16.2,8.301724710972762
2024,MattAl01,2,6.1,8.032718015275373
2024,MattAl01,3,13.4,10.869420116401558
2024,MattAl01,4,6.0,8.652695091743842
2024,MattAl01,5,10.1,7.414833379813974
2024,MattAl01,6,17.5,8.419605352259286
2024,MattAl01,7,15.3,8.120105015465777
2024,MattAl01,8,9.4,7.478157483742249
2024,MattAl01,9,3.6,9.39124468771886
2024,MattAl01,11,9.9,7.7703761930804625
2024,MattAl01,15,2.4,9.836456723826815
2024,MattAl01,16,15.6,9.011988570292225
2024,MattAl01,17,4.8,9.007741704347927
2024,MattAl01,18,7.1,9.524427714786942
2024,McCaCh01,10,16.7,16.543142772556283
2024,McCaCh01,11,14.6,18.5317497283114
2024,McCaCh01,12,7.8,18.912442834888303
2024,McCaCh01,13,8.7,18.501544140315318
2024,McLaJa00,1,5.8,9.207916527145912
2024,McLaJa00,2,0.6,6.56474186780785
2024,McLaJa00,3,8.4,7.132736400914004
2024,McLaJa00,4,5.6,7.25162478063047
2024,McLaJa00,5,11.5,7.570361319509639
2024,McLaJa00,6,4.5,7.530484702978502
2024,McLaJa00,7,3.5,7.2879683152127415
2024,McLaJa00,8,12.6,9.515382439015308
2024,McLaJa00,9,5.0,9.257206921173163
2024,McLaJa00,10,1.2,6.083846970529027
2024,McLaJa00,11,1.9,6.700021820674932
2024,McLaJa00,12,4.4,7.3755463238249765
2024,McLaJa00,13,9.4,6.8531106316996135
2024,McLaJa00,15,6.4,7.287036060189717
2024,McLaJa00,17,9.6,6.254082288494301
2024,McLaJa00,18,6.8,6.176200225535689
2024,MillKe01,7,5.7,6.206083243468117
2024,MillKe01,8,1.6,5.99229596460716
2024,MillKe01,14,9.2,5.289470403318808
2024,MillKe01,15,4.6,6.924545165091191
2024,MillKe01,16,5.1,6.320341723582109
2024,MillKe01,17,2.9,6.372906797576512
2024,MitcKe01,17,5.8,5.709044766488805
2024,MitcKe01,18,1.0,4.7735003113278465
2024,MixoJo00,1,26.8,12.14341520920476
2024,MixoJo00,2,8.0,15.151416619270783
2024,MixoJo00,6,27.2,15.08956997917625
2024,MixoJo00,7,26.4,16.177432116822985
2024,MixoJo00,8,23.4,16.48249863987901
2024,MixoJo00,9,16.6,18.10593908333532
2024,MixoJo00,10,17.0,16.387908898298456
2024,MixoJo00,11,35.3,16.29305562797484
2024,MixoJo00,12,9.5,18.06907115330061
2024,MixoJo00,13,21.9,19.12458679902208
2024,MixoJo00,15,10.6,19.364299627624973
2024,MixoJo00,16,8.1,16.328389363187014
2024,MixoJo00,17,5.9,15.65827033411873
2024,MixoJo00,18,3.8,14.032567447000252
2024,MontDa01,1,16.3,11.67506053329477
2024,MontDa01,2,17.0,12.857631774463798
2024,MontDa01,3,21.2,12.24544252048789
