RANK,PLAYER,#,POS,#G,TEAM,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1ST,RTG
71,Benjamin Watson,# 82,TE,17,NO,45,36,80.0,412,11.4,2,71.0,71.2,72.0,77.5,73.4,324,263,81.2,45,13.9,151,46.6,47,14.5,123,38.0,91,2.5,1.57,10.3,32,2,5.3,12,9,75.0,1,0,0,22,110.4
74,Dallas Goedert,# 88,TE,18,PHI,46,35,76.1,354,10.1,5,75.4,71.1,71.7,77.4,59.9,323,254,78.6,57,17.6,83,25.7,47,14.6,191,59.1,187,5.3,1.39,8.0,32,2,5.4,10,5,50.0,2,0,5,17,115.7
75,De'Anthony Thomas,# 13,WR,5,KC,5,3,60.0,29,9.7,1,75.5,71.0,72.1,73.1,-,27,25,92.6,0,0.0,5,18.5,21,77.8,1,3.7,30,10.0,1.16,14.6,15,0,0.0,1,0,0.0,0,0,0,3,115.8
75,Jakeem Grant Sr.,# 19,WR,10,MIA,31,21,67.7,268,12.8,2,70.5,71.0,71.3,85.7,-,175,164,93.7,0,0.0,38,21.7,132,75.4,0,0.0,142,6.8,1.63,8.8,52,1,4.5,3,1,33.3,1,0,2,13,102.6
77,Antonio Gates,# 85,TE,18,LAC,55,37,67.3,409,11.1,3,70.4,70.9,90.1,29.5,74.2,342,304,88.9,17,5.0,201,58.8,97,28.4,44,12.9,150,4.1,1.35,8.3,27,0,0.0,9,4,44.4,1,1,5,25,99.7
77,Golden Tate,# 19,WR,17,PHI,118,81,68.6,859,10.6,5,71.1,70.9,64.4,31.4,-,468,444,94.9,0,0.0,342,73.1,122,26.1,2,0.4,441,5.4,1.93,7.3,67,7,8.0,23,10,43.5,2,2,23,36,96.7
79,Robbie Chosen,# 11,WR,14,NYJ,87,50,57.5,752,15.0,6,68.3,70.8,71.8,24.8,-,452,437,96.7,0,0.0,106,23.5,346,76.5,0,0.0,181,3.6,1.72,17.3,76,3,5.7,27,8,29.6,4,2,2,30,89.8
79,Jarvis Landry,# 80,WR,16,CLV,137,81,59.1,976,12.0,4,74.7,70.8,69.6,56.8,38.5,647,596,92.1,1,0.2,456,70.5,186,28.7,1,0.2,283,3.5,1.64,11.3,51,6,6.9,26,13,50.0,2,1,7,44,84.7
81,Mohamed Sanu,# 12,WR,16,ATL,91,66,72.5,838,12.7,4,71.6,70.7,90.3,31.2,-,599,565,94.3,0,0.0,451,75.3,144,24.0,2,0.3,396,6.0,1.48,8.2,44,1,1.5,16,7,43.8,0,2,11,41,115.5
82,Dontrelle Inman,# 15,WR,11,IND,46,36,78.3,412,11.4,4,72.3,70.6,71.6,77.4,-,294,277,94.2,0,0.0,98,33.3,196,66.7,0,0.0,72,2.0,1.49,11.3,29,3,7.7,13,7,53.8,0,0,2,22,133.0
